init,pi0,algo,label,final_mean,final_sem,success_rate
uniform,0.5,reinforce,REINFORCE,0.756,0.011944315244779279,0.0
uniform,0.5,trpo,TRPO,0.994,0.006000000000000005,1.0
uniform,0.5,cleanba_ppo,Cleanba PPO,0.618,0.009752492558885203,0.0
uniform,0.5,pc_reinforce,PC-REINFORCE,0.9964999999999998,0.0021147629234082553,1.0
uniform,0.5,pc_actor_critic,PC actor-critic,0.9975000000000002,0.000833333333333334,1.0
mild_suboptimal,0.2689414213699951,reinforce,REINFORCE,0.5589999999999999,0.017349351572897468,0.0
mild_suboptimal,0.2689414213699951,trpo,TRPO,1.0,0.0,1.0
mild_suboptimal,0.2689414213699951,cleanba_ppo,Cleanba PPO,0.378,0.0055377492419453845,0.0
mild_suboptimal,0.2689414213699951,pc_reinforce,PC-REINFORCE,0.9944999999999998,0.0039756201472921915,1.0
mild_suboptimal,0.2689414213699951,pc_actor_critic,PC actor-critic,0.9975000000000002,0.000833333333333334,1.0
favor_suboptimal,0.01798620996209156,reinforce,REINFORCE,0.018000000000000002,0.0029059326290271155,0.0
favor_suboptimal,0.01798620996209156,trpo,TRPO,0.993,0.006999999999999995,1.0
favor_suboptimal,0.01798620996209156,cleanba_ppo,Cleanba PPO,0.026000000000000002,0.0033993463423951896,0.0
favor_suboptimal,0.01798620996209156,pc_reinforce,PC-REINFORCE,0.9675,0.028725230876163365,0.9
favor_suboptimal,0.01798620996209156,pc_actor_critic,PC actor-critic,0.9690000000000001,0.0238723456930585,0.9
mild_optimal,0.7310585786300049,reinforce,REINFORCE,0.849,0.009122621455602671,0.0
mild_optimal,0.7310585786300049,trpo,TRPO,0.992,0.007999999999999995,1.0
mild_optimal,0.7310585786300049,cleanba_ppo,Cleanba PPO,0.8160000000000001,0.007023769168568483,0.0
mild_optimal,0.7310585786300049,pc_reinforce,PC-REINFORCE,0.999,0.0006666666666666674,1.0
mild_optimal,0.7310585786300049,pc_actor_critic,PC actor-critic,0.999,0.0006666666666666674,1.0
favor_optimal,0.9820137900379085,reinforce,REINFORCE,0.982,0.003265986323710907,1.0
favor_optimal,0.9820137900379085,trpo,TRPO,0.9949999999999999,0.005000000000000004,1.0
favor_optimal,0.9820137900379085,cleanba_ppo,Cleanba PPO,0.9870000000000001,0.001527525231651948,1.0
favor_optimal,0.9820137900379085,pc_reinforce,PC-REINFORCE,1.0,0.0,1.0
favor_optimal,0.9820137900379085,pc_actor_critic,PC actor-critic,0.9995,0.0005000000000000004,1.0
