init,algo,label,n_seeds,final_mean,final_std,final_sem,final_median,final_ci_lo,final_ci_hi,avg_mean,avg_std,avg_sem,avg_median,avg_ci_lo,avg_ci_hi,success_rate,steps90_mean,steps90_median,steps90_n
favor_suboptimal,reinforce,REINFORCE,10,0.018000000000000002,0.009189365834726815,0.0029059326290271155,0.015,0.011298919357463473,0.02470108064253653,0.016500000000000008,0.0009196080754026031,0.00029080560729560903,0.016333333333333335,0.015829402269576333,0.017170597730423683,0.0,nan,nan,0
favor_suboptimal,trpo,TRPO,10,0.993,0.02213594362117864,0.006999999999999995,1.0,0.976858,1.009142,0.9649333333333333,0.003825838082961328,0.0012098362301170027,0.9653333333333334,0.9621434509866835,0.9677232156799831,1.0,5800.0,6000.0,10
favor_suboptimal,cleanba_ppo,Cleanba PPO,10,0.026000000000000002,0.010749676997731399,0.0033993463423951896,0.03,0.018161107334436696,0.03383889266556331,0.020700000000000003,0.0026455179893734933,0.0008365862437369365,0.02016666666666667,0.018770832121942627,0.02262916787805738,0.0,nan,nan,0
favor_suboptimal,pc_reinforce,PC-REINFORCE,10,0.9675,0.09083715588287038,0.028725230876163365,1.0,0.9012596175995673,1.0337403824004328,0.5302666666666666,0.13829500138257858,0.043732719338508336,0.5709999999999998,0.4294190158720663,0.6311143174612668,0.9,38222.22222222222,38000.0,9
favor_suboptimal,pc_actor_critic,PC actor-critic,10,0.9690000000000001,0.07549098548097573,0.0238723456930585,0.9924999999999999,0.9139503708318072,1.024049629168193,0.45233333333333325,0.15211833437926206,0.04810404105095639,0.4668333333333333,0.3414054146698278,0.5632612519968387,0.9,44000.0,44000.0,9
uniform,reinforce,REINFORCE,10,0.756,0.037771241264574124,0.011944315244779279,0.77,0.728456409045539,0.783543590954461,0.6478,0.016212478047616424,0.005126835714594768,0.6496666666666666,0.6359775168421445,0.6596224831578555,0.0,nan,nan,0
uniform,trpo,TRPO,10,0.994,0.018973665961010293,0.006000000000000005,1.0,0.980164,1.007836,0.9878666666666666,0.010153391454321673,0.003210784297094596,0.9918333333333333,0.9804625980775664,0.9952707352557667,1.0,2000.0,2000.0,10
uniform,cleanba_ppo,Cleanba PPO,10,0.618,0.030840089349921034,0.009752492558885203,0.615,0.5955107521592107,0.6404892478407893,0.5620666666666667,0.00852563309983996,0.0026960419090415995,0.5643333333333334,0.5558495940244168,0.5682837393089166,0.0,nan,nan,0
uniform,pc_reinforce,PC-REINFORCE,10,0.9964999999999998,0.006687467549246299,0.0021147629234082553,1.0,0.9916233566986203,1.0013766433013793,0.9025166666666667,0.04636299676612595,0.01466126689319789,0.9179999999999999,0.8687077852109524,0.9363255481223811,1.0,20400.0,19000.0,10
uniform,pc_actor_critic,PC actor-critic,10,0.9975000000000002,0.0026352313834736517,0.000833333333333334,0.9975,0.9955783333333335,0.9994216666666669,0.9103833333333334,0.02593261091062711,0.008200611615251489,0.9159166666666667,0.8914727229485635,0.9292939437181034,1.0,19200.0,18000.0,10
