E0701 07:51:25.730453  240490 ptx_compiler_helpers.cc:87] *** WARNING *** Invoking ptxas with version 12.4.131, which corresponds to a CUDA version <=12.6.2. CUDA versions 12.x.y up to and including 12.6.2 miscompile certain edge cases around clamping.
Please upgrade to CUDA 12.6.3 or newer.
|param: value|
|experiment_name:  ppo_procgen|
|seed:  3|
|platform:  cpu|
|write_logs_to_file:  False|
|save_model:  True|
|env_name:  ant|
|num_envs:  1024|
|num_train_levels:  200|
|distribution_mode:  easy|
|arm_means:  (1.0, 0.9)|
|deterministic_rewards:  True|
|episode_length:  1000|
|eval_env:  True|
|num_eval_episodes:  32|
|eval_every:  50|
|deterministic_eval:  True|
|normalize_observations:  True|
|total_timesteps:  50000000|
|learning_rate:  0.0003|
|unroll_length:  20|
|anneal_lr:  True|
|gamma:  0.99|
|gae_lambda:  0.95|
|batch_size:  32|
|num_minibatches:  32|
|update_epochs:  4|
|normalize_advantages:  True|
|clip_eps:  0.2|
|entropy_cost:  0.0|
|vf_cost:  0.5|
|max_grad_norm:  0.5|
|target_kl:  None|
|reward_scaling:  1.0|
|adam_eps:  1e-05|
|sota_init:  True|
|normalize_rewards:  True|
|use_cnn:  False|
|policy_hidden_layer_sizes:  [256, 256]|
|value_hidden_layer_sizes:  [256, 256]|
|activation:  <jax._src.custom_derivatives.custom_jvp object at 0x7e70c4651090>|
|checkpoint_dir:  /workspace/PCPG/outputs/checkpoints|
Using JAX default device: cuda:0.
/usr/local/lib/python3.11/dist-packages/brax/io/mjcf.py:480: UserWarning: Brax System, piplines and environments are not actively being maintained. Please see MJX for a well maintained JAX-based physics engine: https://github.com/google-deepmind/mujoco/tree/main/mjx. For a host of environments that use MJX, see: https://github.com/google-deepmind/mujoco_playground.
  warnings.warn(
Using JAX default device: cuda:0.
E0701 07:51:33.113320  240490 hlo_lexer.cc:443] Failed to parse int literal: 1986902096214075708017
Using JAX default device: cuda:0.
Using JAX default device: cuda:0.
/usr/local/lib/python3.11/dist-packages/brax/io/mjcf.py:480: UserWarning: Brax System, piplines and environments are not actively being maintained. Please see MJX for a well maintained JAX-based physics engine: https://github.com/google-deepmind/mujoco/tree/main/mjx. For a host of environments that use MJX, see: https://github.com/google-deepmind/mujoco_playground.
  warnings.warn(
Using JAX default device: cuda:0.
{'training/total_steps': 20480, 'training/updates': 1, 'training/sps': np.float64(633.191), 'training/walltime': np.float64(32.344), 'training/rollout_time': np.float64(24.674), 'training/update_time': np.float64(7.67), 'training/approx_kl': 0.007112128660082817, 'training/entropy': 5.387953758239746, 'training/entropy_loss': 0.0, 'training/policy_loss': -0.007547293324023485, 'training/total_loss': 0.6994980573654175, 'training/value_loss': 0.707045316696167}
{'training/total_steps': 40960, 'training/updates': 2, 'training/sps': np.float64(11351.952), 'training/walltime': np.float64(34.16), 'training/rollout_time': np.float64(1.754), 'training/update_time': np.float64(0.05), 'training/approx_kl': 0.0072767119854688644, 'training/entropy': 5.360464096069336, 'training/entropy_loss': 0.0, 'training/policy_loss': -0.00625229487195611, 'training/total_loss': 0.19223853945732117, 'training/value_loss': 0.19849084317684174}
{'training/total_steps': 61440, 'training/updates': 3, 'training/sps': np.float64(30453.698), 'training/walltime': np.float64(34.834), 'training/rollout_time': np.float64(0.623), 'training/update_time': np.float64(0.049), 'training/approx_kl': 0.0071179247461259365, 'training/entropy': 5.372002124786377, 'training/entropy_loss': 0.0, 'training/policy_loss': -0.006093969568610191, 'training/total_loss': 0.11956082284450531, 'training/value_loss': 0.12565478682518005}
{'training/total_steps': 81920, 'training/updates': 4, 'training/sps': np.float64(29729.253), 'training/walltime': np.float64(35.524), 'training/rollout_time': np.float64(0.64), 'training/update_time': np.float64(0.049), 'training/approx_kl': 0.007844298146665096, 'training/entropy': 5.348898410797119, 'training/entropy_loss': 0.0, 'training/policy_loss': -0.00704546831548214, 'training/total_loss': 0.09247440099716187, 'training/value_loss': 0.09951987862586975}
{'training/total_steps': 102400, 'training/updates': 5, 'training/sps': np.float64(30508.352), 'training/walltime': np.float64(36.197), 'training/rollout_time': np.float64(0.622), 'training/update_time': np.float64(0.049), 'training/approx_kl': 0.0077902646735310555, 'training/entropy': 5.348360538482666, 'training/entropy_loss': 0.0, 'training/policy_loss': -0.006894259247928858, 'training/total_loss': 0.07463802397251129, 'training/value_loss': 0.08153228461742401}
{'training/total_steps': 122880, 'training/updates': 6, 'training/sps': np.float64(28697.292), 'training/walltime': np.float64(36.912), 'training/rollout_time': np.float64(0.662), 'training/update_time': np.float64(0.052), 'training/approx_kl': 0.008601573295891285, 'training/entropy': 5.322000980377197, 'training/entropy_loss': 0.0, 'training/policy_loss': -0.007803912740200758, 'training/total_loss': 0.0733284056186676, 'training/value_loss': 0.08113232254981995}
{'training/total_steps': 143360, 'training/updates': 7, 'training/sps': np.float64(29654.628), 'training/walltime': np.float64(37.604), 'training/rollout_time': np.float64(0.641), 'training/update_time': np.float64(0.049), 'training/approx_kl': 0.008088825270533562, 'training/entropy': 5.325119972229004, 'training/entropy_loss': 0.0, 'training/policy_loss': -0.006635865196585655, 'training/total_loss': 0.07328137755393982, 'training/value_loss': 0.07991724461317062}
{'training/total_steps': 163840, 'training/updates': 8, 'training/sps': np.float64(29122.411), 'training/walltime': np.float64(38.308), 'training/rollout_time': np.float64(0.653), 'training/update_time': np.float64(0.05), 'training/approx_kl': 0.008068716153502464, 'training/entropy': 5.309633255004883, 'training/entropy_loss': 0.0, 'training/policy_loss': -0.0060607329942286015, 'training/total_loss': 0.07125277072191238, 'training/value_loss': 0.07731350511312485}
{'training/total_steps': 184320, 'training/updates': 9, 'training/sps': np.float64(29608.682), 'training/walltime': np.float64(39.002), 'training/rollout_time': np.float64(0.642), 'training/update_time': np.float64(0.05), 'training/approx_kl': 0.008336277678608894, 'training/entropy': 5.280689239501953, 'training/entropy_loss': 0.0, 'training/policy_loss': -0.006414003670215607, 'training/total_loss': 0.06501837819814682, 'training/value_loss': 0.07143238931894302}
{'training/total_steps': 204800, 'training/updates': 10, 'training/sps': np.float64(29832.294), 'training/walltime': np.float64(39.69), 'training/rollout_time': np.float64(0.638), 'training/update_time': np.float64(0.048), 'training/approx_kl': 0.007923000492155552, 'training/entropy': 5.250677108764648, 'training/entropy_loss': 0.0, 'training/policy_loss': -0.004759683273732662, 'training/total_loss': 0.06347676366567612, 'training/value_loss': 0.06823645532131195}
{'training/total_steps': 225280, 'training/updates': 11, 'training/sps': np.float64(29992.495), 'training/walltime': np.float64(40.378), 'training/rollout_time': np.float64(0.633), 'training/update_time': np.float64(0.05), 'training/approx_kl': 0.008057473227381706, 'training/entropy': 5.229987621307373, 'training/entropy_loss': 0.0, 'training/policy_loss': -0.005709563381969929, 'training/total_loss': 0.06237565726041794, 'training/value_loss': 0.06808522343635559}
{'training/total_steps': 245760, 'training/updates': 12, 'training/sps': np.float64(29447.839), 'training/walltime': np.float64(41.074), 'training/rollout_time': np.float64(0.645), 'training/update_time': np.float64(0.051), 'training/approx_kl': 0.008086515590548515, 'training/entropy': 5.204571723937988, 'training/entropy_loss': 0.0, 'training/policy_loss': -0.006035616621375084, 'training/total_loss': 0.05374833568930626, 'training/value_loss': 0.059783950448036194}
{'training/total_steps': 266240, 'training/updates': 13, 'training/sps': np.float64(29629.486), 'training/walltime': np.float64(41.767), 'training/rollout_time': np.float64(0.642), 'training/update_time': np.float64(0.049), 'training/approx_kl': 0.008168378844857216, 'training/entropy': 5.169536590576172, 'training/entropy_loss': 0.0, 'training/policy_loss': -0.005645126570016146, 'training/total_loss': 0.05911318585276604, 'training/value_loss': 0.0647583156824112}
{'training/total_steps': 286720, 'training/updates': 14, 'training/sps': np.float64(29631.172), 'training/walltime': np.float64(42.459), 'training/rollout_time': np.float64(0.643), 'training/update_time': np.float64(0.048), 'training/approx_kl': 0.008404195308685303, 'training/entropy': 5.126114845275879, 'training/entropy_loss': 0.0, 'training/policy_loss': -0.005008529406040907, 'training/total_loss': 0.05889023095369339, 'training/value_loss': 0.06389875710010529}
{'training/total_steps': 307200, 'training/updates': 15, 'training/sps': np.float64(30828.417), 'training/walltime': np.float64(43.125), 'training/rollout_time': np.float64(0.615), 'training/update_time': np.float64(0.049), 'training/approx_kl': 0.008228656835854053, 'training/entropy': 5.0985307693481445, 'training/entropy_loss': 0.0, 'training/policy_loss': -0.005058507900685072, 'training/total_loss': 0.057552486658096313, 'training/value_loss': 0.06261099874973297}
