E0701 09:27:46.729056  345112 ptx_compiler_helpers.cc:87] *** WARNING *** Invoking ptxas with version 12.4.131, which corresponds to a CUDA version <=12.6.2. CUDA versions 12.x.y up to and including 12.6.2 miscompile certain edge cases around clamping.
Please upgrade to CUDA 12.6.3 or newer.
|param: value|
|experiment_name:  trpo_procgen|
|seed:  3|
|platform:  cpu|
|write_logs_to_file:  False|
|save_model:  True|
|env_name:  ant|
|num_envs:  1024|
|num_train_levels:  200|
|distribution_mode:  easy|
|arm_means:  (1.0, 0.9)|
|deterministic_rewards:  True|
|episode_length:  1000|
|eval_env:  True|
|num_eval_episodes:  32|
|eval_every:  25|
|deterministic_eval:  True|
|normalize_observations:  True|
|total_timesteps:  50000000|
|learning_rate:  0.001|
|unroll_length:  32|
|anneal_lr:  False|
|gamma:  0.99|
|gae_lambda:  0.97|
|batch_size:  1024|
|num_minibatches:  1|
|update_epochs:  10|
|normalize_advantages:  True|
|target_kl:  0.01|
|cg_damping:  0.1|
|cg_max_iterations:  10|
|line_search_max_iter:  10|
|line_search_shrinking_factor:  0.8|
|vf_cost:  1.0|
|max_grad_norm:  0.5|
|reward_scaling:  1.0|
|adam_eps:  1e-05|
|sota_init:  True|
|normalize_rewards:  True|
|use_cnn:  False|
|policy_hidden_layer_sizes:  [256, 256]|
|value_hidden_layer_sizes:  [256, 256]|
|activation:  <jax._src.custom_derivatives.custom_jvp object at 0x7b71da54e890>|
|policy_init_logit_bias:  None|
|checkpoint_dir:  /workspace/PCPG/outputs/checkpoints|
Using JAX default device: cuda:0.
/usr/local/lib/python3.11/dist-packages/brax/io/mjcf.py:480: UserWarning: Brax System, piplines and environments are not actively being maintained. Please see MJX for a well maintained JAX-based physics engine: https://github.com/google-deepmind/mujoco/tree/main/mjx. For a host of environments that use MJX, see: https://github.com/google-deepmind/mujoco_playground.
  warnings.warn(
Using JAX default device: cuda:0.
E0701 09:27:53.657578  345112 hlo_lexer.cc:443] Failed to parse int literal: 1986902096214075708017
Using JAX default device: cuda:0.
Using JAX default device: cuda:0.
/usr/local/lib/python3.11/dist-packages/brax/io/mjcf.py:480: UserWarning: Brax System, piplines and environments are not actively being maintained. Please see MJX for a well maintained JAX-based physics engine: https://github.com/google-deepmind/mujoco/tree/main/mjx. For a host of environments that use MJX, see: https://github.com/google-deepmind/mujoco_playground.
  warnings.warn(
Using JAX default device: cuda:0.
{'training/total_steps': 32768, 'training/updates': 1, 'training/sps': np.float64(743.468), 'training/walltime': np.float64(44.075), 'training/rollout_time': np.float64(26.195), 'training/update_time': np.float64(17.879), 'training/iterations': 1.0, 'training/kl_div': 0.006727715488523245, 'training/line_search_success': 1.0, 'training/new_policy_objective': 0.017022809013724327, 'training/policy_objective': -2.1420419216156006e-08, 'training/value_loss': 1.4218389987945557}
{'training/total_steps': 65536, 'training/updates': 2, 'training/sps': np.float64(16730.578), 'training/walltime': np.float64(46.046), 'training/rollout_time': np.float64(1.922), 'training/update_time': np.float64(0.037), 'training/iterations': 1.0, 'training/kl_div': 0.007096074987202883, 'training/line_search_success': 1.0, 'training/new_policy_objective': 0.015773050487041473, 'training/policy_objective': -7.660128176212311e-08, 'training/value_loss': 0.569453775882721}
{'training/total_steps': 98304, 'training/updates': 3, 'training/sps': np.float64(39685.526), 'training/walltime': np.float64(46.873), 'training/rollout_time': np.float64(0.792), 'training/update_time': np.float64(0.034), 'training/iterations': 1.0, 'training/kl_div': 0.00719537865370512, 'training/line_search_success': 1.0, 'training/new_policy_objective': 0.01582261174917221, 'training/policy_objective': 2.547167241573334e-07, 'training/value_loss': 0.22821946442127228}
{'training/total_steps': 131072, 'training/updates': 4, 'training/sps': np.float64(41967.361), 'training/walltime': np.float64(47.655), 'training/rollout_time': np.float64(0.747), 'training/update_time': np.float64(0.034), 'training/iterations': 1.0, 'training/kl_div': 0.0071762846782803535, 'training/line_search_success': 1.0, 'training/new_policy_objective': 0.01598033308982849, 'training/policy_objective': 8.973293006420135e-07, 'training/value_loss': 0.24687735736370087}
{'training/total_steps': 163840, 'training/updates': 5, 'training/sps': np.float64(40350.922), 'training/walltime': np.float64(48.468), 'training/rollout_time': np.float64(0.777), 'training/update_time': np.float64(0.035), 'training/iterations': 1.0, 'training/kl_div': 0.007034013047814369, 'training/line_search_success': 1.0, 'training/new_policy_objective': 0.01607159897685051, 'training/policy_objective': -2.323649823665619e-07, 'training/value_loss': 0.20774061977863312}
{'training/total_steps': 196608, 'training/updates': 6, 'training/sps': np.float64(40286.957), 'training/walltime': np.float64(49.283), 'training/rollout_time': np.float64(0.78), 'training/update_time': np.float64(0.034), 'training/iterations': 1.0, 'training/kl_div': 0.0066825528629124165, 'training/line_search_success': 1.0, 'training/new_policy_objective': 0.0152741689234972, 'training/policy_objective': -7.138587534427643e-07, 'training/value_loss': 0.1975470334291458}
{'training/total_steps': 229376, 'training/updates': 7, 'training/sps': np.float64(40142.859), 'training/walltime': np.float64(50.101), 'training/rollout_time': np.float64(0.781), 'training/update_time': np.float64(0.035), 'training/iterations': 1.0, 'training/kl_div': 0.0068824803456664085, 'training/line_search_success': 1.0, 'training/new_policy_objective': 0.015965742990374565, 'training/policy_objective': 4.0046870708465576e-08, 'training/value_loss': 0.19907134771347046}
{'training/total_steps': 262144, 'training/updates': 8, 'training/sps': np.float64(40132.099), 'training/walltime': np.float64(50.918), 'training/rollout_time': np.float64(0.782), 'training/update_time': np.float64(0.035), 'training/iterations': 1.0, 'training/kl_div': 0.006989734247326851, 'training/line_search_success': 1.0, 'training/new_policy_objective': 0.016666382551193237, 'training/policy_objective': -4.7404319047927856e-07, 'training/value_loss': 0.19847141206264496}
{'training/total_steps': 294912, 'training/updates': 9, 'training/sps': np.float64(42810.965), 'training/walltime': np.float64(51.685), 'training/rollout_time': np.float64(0.734), 'training/update_time': np.float64(0.031), 'training/iterations': 1.0, 'training/kl_div': 0.0064895544201135635, 'training/line_search_success': 1.0, 'training/new_policy_objective': 0.015563993714749813, 'training/policy_objective': 1.4398247003555298e-06, 'training/value_loss': 0.19279344379901886}
{'training/total_steps': 327680, 'training/updates': 10, 'training/sps': np.float64(39974.984), 'training/walltime': np.float64(52.506), 'training/rollout_time': np.float64(0.787), 'training/update_time': np.float64(0.033), 'training/iterations': 1.0, 'training/kl_div': 0.00650149118155241, 'training/line_search_success': 1.0, 'training/new_policy_objective': 0.01650891825556755, 'training/policy_objective': -3.8370490074157715e-07, 'training/value_loss': 0.18068216741085052}
{'training/total_steps': 360448, 'training/updates': 11, 'training/sps': np.float64(41781.87), 'training/walltime': np.float64(53.291), 'training/rollout_time': np.float64(0.749), 'training/update_time': np.float64(0.035), 'training/iterations': 1.0, 'training/kl_div': 0.006682892329990864, 'training/line_search_success': 1.0, 'training/new_policy_objective': 0.016587261110544205, 'training/policy_objective': 1.2833625078201294e-06, 'training/value_loss': 0.1768810898065567}
{'training/total_steps': 393216, 'training/updates': 12, 'training/sps': np.float64(42197.36), 'training/walltime': np.float64(54.069), 'training/rollout_time': np.float64(0.744), 'training/update_time': np.float64(0.032), 'training/iterations': 1.0, 'training/kl_div': 0.006523582153022289, 'training/line_search_success': 1.0, 'training/new_policy_objective': 0.016796305775642395, 'training/policy_objective': 3.4552067518234253e-07, 'training/value_loss': 0.17200389504432678}
{'training/total_steps': 425984, 'training/updates': 13, 'training/sps': np.float64(42392.516), 'training/walltime': np.float64(54.843), 'training/rollout_time': np.float64(0.741), 'training/update_time': np.float64(0.032), 'training/iterations': 1.0, 'training/kl_div': 0.0063656168058514595, 'training/line_search_success': 1.0, 'training/new_policy_objective': 0.01695088855922222, 'training/policy_objective': -1.600012183189392e-06, 'training/value_loss': 0.17203514277935028}
{'training/total_steps': 458752, 'training/updates': 14, 'training/sps': np.float64(41747.78), 'training/walltime': np.float64(55.629), 'training/rollout_time': np.float64(0.753), 'training/update_time': np.float64(0.032), 'training/iterations': 1.0, 'training/kl_div': 0.006620448082685471, 'training/line_search_success': 1.0, 'training/new_policy_objective': 0.017319535836577415, 'training/policy_objective': 6.547197699546814e-07, 'training/value_loss': 0.17334413528442383}
{'training/total_steps': 491520, 'training/updates': 15, 'training/sps': np.float64(42578.535), 'training/walltime': np.float64(56.4), 'training/rollout_time': np.float64(0.737), 'training/update_time': np.float64(0.032), 'training/iterations': 1.0, 'training/kl_div': 0.006214294582605362, 'training/line_search_success': 1.0, 'training/new_policy_objective': 0.017201660200953484, 'training/policy_objective': -5.457550287246704e-07, 'training/value_loss': 0.1545736938714981}
{'training/total_steps': 524288, 'training/updates': 16, 'training/sps': np.float64(40544.82), 'training/walltime': np.float64(57.209), 'training/rollout_time': np.float64(0.774), 'training/update_time': np.float64(0.034), 'training/iterations': 1.0, 'training/kl_div': 0.006436377763748169, 'training/line_search_success': 1.0, 'training/new_policy_objective': 0.017867036163806915, 'training/policy_objective': -1.4605466276407242e-06, 'training/value_loss': 0.16847269237041473}
{'training/total_steps': 557056, 'training/updates': 17, 'training/sps': np.float64(41042.689), 'training/walltime': np.float64(58.008), 'training/rollout_time': np.float64(0.766), 'training/update_time': np.float64(0.032), 'training/iterations': 1.0, 'training/kl_div': 0.005904611200094223, 'training/line_search_success': 1.0, 'training/new_policy_objective': 0.01736280508339405, 'training/policy_objective': -9.199138730764389e-07, 'training/value_loss': 0.17342810332775116}
{'training/total_steps': 589824, 'training/updates': 18, 'training/sps': np.float64(40713.244), 'training/walltime': np.float64(58.814), 'training/rollout_time': np.float64(0.773), 'training/update_time': np.float64(0.032), 'training/iterations': 1.0, 'training/kl_div': 0.006172627210617065, 'training/line_search_success': 1.0, 'training/new_policy_objective': 0.018120326101779938, 'training/policy_objective': 8.307397365570068e-07, 'training/value_loss': 0.1615113615989685}
{'training/total_steps': 622592, 'training/updates': 19, 'training/sps': np.float64(41981.385), 'training/walltime': np.float64(59.597), 'training/rollout_time': np.float64(0.745), 'training/update_time': np.float64(0.035), 'training/iterations': 1.0, 'training/kl_div': 0.006006034556776285, 'training/line_search_success': 1.0, 'training/new_policy_objective': 0.018727555871009827, 'training/policy_objective': -1.0028015822172165e-06, 'training/value_loss': 0.1580534428358078}
{'training/total_steps': 655360, 'training/updates': 20, 'training/sps': np.float64(41577.046), 'training/walltime': np.float64(60.386), 'training/rollout_time': np.float64(0.755), 'training/update_time': np.float64(0.033), 'training/iterations': 1.0, 'training/kl_div': 0.005502233747392893, 'training/line_search_success': 1.0, 'training/new_policy_objective': 0.017753485590219498, 'training/policy_objective': 1.601874828338623e-06, 'training/value_loss': 0.18210788071155548}
{'training/total_steps': 688128, 'training/updates': 21, 'training/sps': np.float64(41146.394), 'training/walltime': np.float64(61.185), 'training/rollout_time': np.float64(0.764), 'training/update_time': np.float64(0.033), 'training/iterations': 1.0, 'training/kl_div': 0.00577399879693985, 'training/line_search_success': 1.0, 'training/new_policy_objective': 0.018351972103118896, 'training/policy_objective': -2.5120098143815994e-06, 'training/value_loss': 0.16759870946407318}
{'training/total_steps': 720896, 'training/updates': 22, 'training/sps': np.float64(41558.226), 'training/walltime': np.float64(61.974), 'training/rollout_time': np.float64(0.755), 'training/update_time': np.float64(0.034), 'training/iterations': 1.0, 'training/kl_div': 0.005898086354136467, 'training/line_search_success': 1.0, 'training/new_policy_objective': 0.018903665244579315, 'training/policy_objective': 3.160908818244934e-06, 'training/value_loss': 0.15893520414829254}
{'training/total_steps': 753664, 'training/updates': 23, 'training/sps': np.float64(40747.258), 'training/walltime': np.float64(62.78), 'training/rollout_time': np.float64(0.772), 'training/update_time': np.float64(0.032), 'training/iterations': 1.0, 'training/kl_div': 0.005905725993216038, 'training/line_search_success': 1.0, 'training/new_policy_objective': 0.018864808604121208, 'training/policy_objective': 5.345791578292847e-07, 'training/value_loss': 0.15876337885856628}
{'training/total_steps': 786432, 'training/updates': 24, 'training/sps': np.float64(41076.9), 'training/walltime': np.float64(63.579), 'training/rollout_time': np.float64(0.767), 'training/update_time': np.float64(0.031), 'training/iterations': 1.0, 'training/kl_div': 0.005473021883517504, 'training/line_search_success': 1.0, 'training/new_policy_objective': 0.018683886155486107, 'training/policy_objective': 2.2873282432556152e-06, 'training/value_loss': 0.15770097076892853}
{'training/total_steps': 819200, 'training/updates': 25, 'training/sps': np.float64(39888.736), 'training/walltime': np.float64(64.402), 'training/rollout_time': np.float64(0.789), 'training/update_time': np.float64(0.033), 'training/iterations': 1.0, 'training/kl_div': 0.005216952878981829, 'training/line_search_success': 1.0, 'training/new_policy_objective': 0.018342576920986176, 'training/policy_objective': -2.682209014892578e-07, 'training/value_loss': 0.16268154978752136}
Using JAX default device: cuda:0.
{'eval/num_episodes': 32, 'eval/mean_score': np.float64(80.401), 'eval/std_score': np.float64(175.696), 'eval/mean_episode_length': np.float64(73.75), 'eval/std_episode_length': np.float64(171.644), 'eval/eval_time': 42.73110508918762}
{'training/total_steps': 851968, 'training/updates': 26, 'training/sps': np.float64(37541.359), 'training/walltime': np.float64(108.008), 'training/rollout_time': np.float64(0.838), 'training/update_time': np.float64(0.035), 'training/iterations': 1.0, 'training/kl_div': 0.004973222967237234, 'training/line_search_success': 1.0, 'training/new_policy_objective': 0.018739011138677597, 'training/policy_objective': -3.4207478165626526e-06, 'training/value_loss': 0.17355763912200928}
{'training/total_steps': 884736, 'training/updates': 27, 'training/sps': np.float64(40694.607), 'training/walltime': np.float64(108.814), 'training/rollout_time': np.float64(0.772), 'training/update_time': np.float64(0.033), 'training/iterations': 1.0, 'training/kl_div': 0.005117837339639664, 'training/line_search_success': 1.0, 'training/new_policy_objective': 0.019323747605085373, 'training/policy_objective': 3.296881914138794e-07, 'training/value_loss': 0.16136841475963593}
{'training/total_steps': 917504, 'training/updates': 28, 'training/sps': np.float64(39886.756), 'training/walltime': np.float64(109.637), 'training/rollout_time': np.float64(0.787), 'training/update_time': np.float64(0.035), 'training/iterations': 1.0, 'training/kl_div': 0.005761901382356882, 'training/line_search_success': 1.0, 'training/new_policy_objective': 0.02029234729707241, 'training/policy_objective': -3.34432115778327e-07, 'training/value_loss': 0.1500619500875473}
