env,algo,config_name,seed,final_return,best_return,auc_return,collapse,severe_collapse,degradation_ratio,walltime_s,total_steps,drift_max,drift_p95,drift_final,kl_max,kl_p95,kl_final,mu_target_max,mu_target_p95,value_ev_mean,value_ev_final,value_ev_min,value_pc_loss_final,value_pc_loss_trend,pretanh_sat_max,pretanh_sat_final,log_std_mean_final,frac_std_at_min_final,frac_std_at_max_final
halfcheetah,pc_actor_critic,halfcheetah_pc_actor_critic_adam_tanh_ts10_bench_mt10,1,863.62,926.8,596.95,0,0,0.932,403.3,1007616,0.46901145577430725,0.3364229500293731,0.1695336252450943,0.36666393280029297,0.20486562848091075,0.01940101385116577,73.41388702392578,33.75795707702637,0.4741563966603783,0.8159322738647461,-0.43071818351745605,0.011799896135926247,0.05529233315593653,0.12015787760416667,0.10646565755208333,-0.7900478839874268,0.0,0.0
halfcheetah,pc_actor_critic,halfcheetah_pc_actor_critic_adam_tanh_ts10_bench_mt10,2,1047.02,1047.02,503.28,0,0,1.0,401.9,1007616,0.4261898696422577,0.33609369993209826,0.20562341809272766,0.5741235017776489,0.2320533037185665,0.049740612506866455,71.17893981933594,47.896030044555665,0.22700775638828433,-0.019023656845092773,-0.34172821044921875,0.015151500701904297,0.05995323348337481,0.10630289713541667,0.10630289713541667,-0.7707549333572388,0.0,0.0
halfcheetah,pc_actor_critic,halfcheetah_pc_actor_critic_adam_tanh_ts10_bench_mt10,3,34.9,904.63,120.18,1,0,0.039,407.9,1007616,0.5983814597129822,0.36822306811809535,0.21700838208198547,0.5422840118408203,0.17277827858924855,0.047575533390045166,37.548126220703125,29.895495033264158,0.48278449415191405,0.4258432984352112,-0.9038453102111816,0.020782068371772766,0.07695402323970414,0.15816243489583334,0.15732828776041666,-0.7633166313171387,0.0,0.0
halfcheetah,pc_actor_critic,halfcheetah_pc_actor_critic_adam_tanh_ts10_bench_mt20,1,1120.98,1120.98,627.84,0,0,1.0,407.2,1007616,0.42028573155403137,0.3003675013780594,0.23073871433734894,0.3099292516708374,0.20084682106971719,0.04907119274139404,41.52436065673828,28.880954360961912,0.22250818140138456,-0.12698042392730713,-0.46018433570861816,0.010695023462176323,0.04711422632321669,0.13671875,0.11956787109375,-0.7700151205062866,0.0,0.0
halfcheetah,pc_actor_critic,halfcheetah_pc_actor_critic_adam_tanh_ts10_bench_mt20,2,1087.76,1087.76,553.57,0,0,1.0,402.4,1007616,0.481825590133667,0.3204491525888442,0.34398356080055237,0.5918611884117126,0.22621168494224522,0.08421653509140015,71.48748016357422,44.704207992553705,0.19164450381829487,-0.000950932502746582,-0.4115954637527466,0.012385457754135132,0.05555726736413148,0.09360758463541667,0.0933837890625,-0.787881076335907,0.0,0.0
halfcheetah,pc_actor_critic,halfcheetah_pc_actor_critic_adam_tanh_ts10_bench_mt20,3,-260.55,790.68,86.93,1,1,-0.33,407.8,1007616,0.5320211052894592,0.373591935634613,0.4141453206539154,0.35595518350601196,0.18465217351913438,0.13674867153167725,39.003074645996094,31.792808151245115,0.4787258806267405,0.512444019317627,-0.404093861579895,0.015627950429916382,0.08167805976449578,0.17283121744791666,0.15962727864583334,-0.7953989505767822,0.0,0.0
halfcheetah,pc_actor_critic,halfcheetah_pc_actor_critic_adam_tanh_ts10_bench_mt40,1,675.37,958.64,519.84,0,0,0.705,406.2,1007616,0.6656460165977478,0.3648550361394881,0.2957434058189392,0.3415060043334961,0.19720927476882927,0.08793169260025024,54.21550369262695,31.645646286010738,0.3472503811363282,-0.05343341827392578,-0.41991937160491943,0.0130919823423028,0.0490491339327175,0.11183675130208333,0.10589599609375,-0.7670068740844727,0.0,0.0
halfcheetah,pc_actor_critic,halfcheetah_pc_actor_critic_adam_tanh_ts10_bench_mt40,2,870.45,943.83,517.25,0,0,0.922,409.9,1007616,0.5181717872619629,0.3710637480020523,0.26677846908569336,0.4071865677833557,0.23141262531280482,0.06035876274108887,51.13170623779297,43.42194290161132,0.16865950774371138,0.17665457725524902,-0.46475350856781006,0.012959853745996952,0.05507033234567573,0.10146077473958333,0.10146077473958333,-0.7842628955841064,0.0,0.0
halfcheetah,pc_actor_critic,halfcheetah_pc_actor_critic_adam_tanh_ts10_bench_mt40,3,-374.14,827.43,365.84,1,1,-0.452,417.6,1007616,0.7326099276542664,0.4392699122428889,0.7326099276542664,0.6423515677452087,0.22305192351341221,0.31051093339920044,50.750877380371094,38.22022399902343,0.6093968065773568,0.5916305780410767,-0.638359785079956,0.04986191168427467,0.15158601376079098,0.214111328125,0.20973714192708334,-0.8269466161727905,0.0,0.0
halfcheetah,pc_actor_critic,halfcheetah_pc_actor_critic_adam_tanh_ts10_bench_mt80,1,97.23,839.21,472.2,0,0,0.116,411.8,1007616,0.8810487985610962,0.5146726787090299,0.3336219787597656,0.6683947443962097,0.2599464237689972,0.17551636695861816,48.2295036315918,34.49693908691406,0.23137932870446182,-0.035659193992614746,-0.4927009344100952,0.014938720501959324,0.057502986147837894,0.17616780598958334,0.17486572265625,-0.7372145652770996,0.0,0.0
