env,algo,config_name,seed,final_return,best_return,auc_return,collapse,severe_collapse,degradation_ratio,walltime_s,total_steps,drift_max,drift_p95,drift_final,kl_max,kl_p95,kl_final,mu_target_max,mu_target_p95,value_ev_mean,value_ev_final,value_ev_min,value_pc_loss_final,value_pc_loss_trend,pretanh_sat_max,pretanh_sat_final,log_std_mean_final,frac_std_at_min_final,frac_std_at_max_final
halfcheetah,pc_actor_critic,halfcheetah_pc_actor_critic_adam_tanh_ts10_bench_mt20_nat,1,769.83,769.83,402.78,0,0,1.0,420.9,1007616,0.32780805230140686,0.24134880155324928,0.12591765820980072,0.30447977781295776,0.11757220029830914,0.022870540618896484,25.638259887695312,16.226902770996094,0.3302005199882073,0.12357920408248901,-0.7092757225036621,0.013466806150972843,0.04852045146855867,0.0936279296875,0.0936279296875,-0.7870776653289795,0.0,0.0
halfcheetah,pc_actor_critic,halfcheetah_pc_actor_critic_adam_tanh_ts10_bench_mt20_nat,2,775.89,775.89,322.42,0,0,1.0,418.2,1007616,0.24387799203395844,0.1979745149612427,0.16201528906822205,0.28475457429885864,0.11772662997245775,0.028617799282073975,21.316814422607422,15.260236644744868,0.28118365082314345,0.04416710138320923,-0.5108078718185425,0.0136334877461195,0.05501679118958455,0.07021077473958333,0.053914388020833336,-0.8517922759056091,0.0,0.0
halfcheetah,pc_actor_critic,halfcheetah_pc_actor_critic_adam_tanh_ts10_bench_mt20_nat,3,-269.53,714.28,127.05,1,1,-0.377,424.3,1007616,0.3016534149646759,0.2079605713486671,0.20857258141040802,0.31233251094818115,0.06327338814735407,0.045752763748168945,21.21574592590332,14.237443828582757,0.4866827726364136,0.3084082007408142,-0.570931077003479,0.025096243247389793,0.12674297605519488,0.09334309895833333,0.09334309895833333,-0.8433847427368164,0.0,0.0
halfcheetah,pc_actor_critic,halfcheetah_pc_actor_critic_adam_tanh_ts10_bench_mt80_nat,1,948.27,948.27,486.97,0,0,1.0,424.3,1007616,0.3135624825954437,0.27294504344463344,0.12670856714248657,0.21801269054412842,0.11547920703887934,0.014546215534210205,21.63091468811035,15.341730690002432,0.28149122242035907,0.05021822452545166,-0.6029789447784424,0.011387456208467484,0.04379406542594571,0.09108479817708333,0.09108479817708333,-0.7869585752487183,0.0,0.0
halfcheetah,pc_actor_critic,halfcheetah_pc_actor_critic_adam_tanh_ts10_bench_mt80_nat,2,387.18,664.37,337.66,0,0,0.583,423.0,1007616,0.2513291537761688,0.208309605717659,0.1252427101135254,0.438312292098999,0.10467387437820423,0.012072622776031494,21.025588989257812,14.602361583709717,0.27947195952500753,0.10597717761993408,-0.3867684602737427,0.009971726685762405,0.04286892599273347,0.07763671875,0.07395426432291667,-0.8318252563476562,0.0,0.0
halfcheetah,pc_actor_critic,halfcheetah_pc_actor_critic_adam_tanh_ts10_bench_mt80_nat,3,-228.0,824.58,197.61,1,1,-0.277,433.6,1007616,0.36575159430503845,0.24609214961528778,0.1553555279970169,0.2916181683540344,0.09236157536506652,0.025192975997924805,24.685510635375977,13.508837985992432,0.5254938200237306,0.14392012357711792,-0.9019026756286621,0.029629550874233246,0.14379856689591172,0.12713623046875,0.12392171223958333,-0.8643166422843933,0.0,0.0
halfcheetah,pc_actor_critic,halfcheetah_pc_actor_critic_sgd_tanh_ts10_bench_lr003_mt20_nat,1,759.37,849.23,459.78,0,0,0.894,409.4,1007616,0.1899786740541458,0.1442420795559883,0.1411418914794922,0.03263044357299805,0.02296131253242492,0.01587998867034912,18.485031127929688,15.838657474517818,-0.44678208304614553,-0.0002523660659790039,-1.1485729217529297,0.025934096425771713,0.10588637662244028,0.07210286458333333,0.022725423177083332,-0.6841951608657837,0.00016276042151730508,0.0008951823110692203
halfcheetah,pc_actor_critic,halfcheetah_pc_actor_critic_sgd_tanh_ts10_bench_lr003_mt20_nat,2,737.56,805.73,417.41,0,0,0.915,413.3,1007616,0.23250673711299896,0.15976002067327497,0.08749527484178543,0.04204469919204712,0.026889508962631217,0.009131431579589844,19.22866439819336,11.744632244110104,-0.7644021607996002,-2.106182098388672,-3.4300951957702637,0.018008247017860413,0.07599387742991481,0.07021077473958333,0.022481282552083332,-0.6480494141578674,0.0,0.0
halfcheetah,pc_actor_critic,halfcheetah_pc_actor_critic_sgd_tanh_ts10_bench_lr003_mt20_nat,3,846.05,932.09,445.73,0,0,0.908,424.4,1007616,0.25827011466026306,0.20351354777812955,0.11883863061666489,0.05675971508026123,0.03927685618400572,0.01686757802963257,16.431262969970703,13.368655300140375,-0.39504469894781347,-0.4041787385940552,-0.8539882898330688,0.038395337760448456,0.14149780414282875,0.07967122395833333,0.0609130859375,-0.732409656047821,0.0,0.0
halfcheetah,pc_actor_critic,halfcheetah_pc_actor_critic_sgd_tanh_ts10_bench_lr003_mt80_nat,1,180.8,771.66,402.72,0,0,0.234,406.6,1007616,0.19995470345020294,0.15428908467292785,0.1859525591135025,0.03930020332336426,0.02267104387283325,0.03930020332336426,21.1298828125,16.81263790130615,-0.5108062600701805,-0.10226321220397949,-1.0998444557189941,0.026589836925268173,0.10781848318496987,0.07210286458333333,0.03216552734375,-0.6860582828521729,0.0009765625,0.0008138021221384406
